"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","::1","::1","TCP","88","57815  >  8081 [SYN] Seq=0 Win=65535 Len=0 MSS=16324 WS=64 TSval=1159601201 TSecr=0 SACK_PERM=1"
"2","0.000097","::1","::1","TCP","88","8081  >  57815 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16324 WS=64 TSval=1159601201 TSecr=1159601201 SACK_PERM=1"
"3","0.000111","::1","::1","TCP","76","57815  >  8081 [ACK] Seq=1 Ack=1 Win=407744 Len=0 TSval=1159601201 TSecr=1159601201"
"4","0.000124","::1","::1","TCP","76","[TCP Window Update] 8081  >  57815 [ACK] Seq=1 Ack=1 Win=407744 Len=0 TSval=1159601201 TSecr=1159601201"
"5","0.003829","::1","::1","HTTP","512","OPTIONS / HTTP/1.1 "
"6","0.003914","::1","::1","TCP","76","8081  >  57815 [ACK] Seq=1 Ack=437 Win=407360 Len=0 TSval=1159601204 TSecr=1159601203"
"7","0.004817","::1","::1","HTTP","382","HTTP/1.1 204 No Content "
"8","0.004842","::1","::1","TCP","76","57815  >  8081 [ACK] Seq=437 Ack=307 Win=407488 Len=0 TSval=1159601204 TSecr=1159601204"
"9","0.008987","::1","::1","TCP","88","57816  >  8081 [SYN] Seq=0 Win=65535 Len=0 MSS=16324 WS=64 TSval=1159601208 TSecr=0 SACK_PERM=1"
"10","0.009073","::1","::1","TCP","88","8081  >  57816 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16324 WS=64 TSval=1159601208 TSecr=1159601208 SACK_PERM=1"
"11","0.009084","::1","::1","TCP","76","57816  >  8081 [ACK] Seq=1 Ack=1 Win=407744 Len=0 TSval=1159601208 TSecr=1159601208"
"12","0.009093","::1","::1","TCP","76","[TCP Window Update] 8081  >  57816 [ACK] Seq=1 Ack=1 Win=407744 Len=0 TSval=1159601208 TSecr=1159601208"
"13","0.009661","::1","::1","TCP","504","57816  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=407744 Len=428 TSval=1159601208 TSecr=1159601208 [TCP segment of a reassembled PDU]"
"14","0.009687","::1","::1","TCP","76","8081  >  57816 [ACK] Seq=1 Ack=429 Win=407360 Len=0 TSval=1159601208 TSecr=1159601208"
"15","0.009988","::1","::1","HTTP","204","POST / HTTP/1.1  (application/json)"
"16","0.010006","::1","::1","TCP","76","8081  >  57816 [ACK] Seq=1 Ack=557 Win=407232 Len=0 TSval=1159601209 TSecr=1159601209"
"17","0.011136","::1","::1","HTTP","349","HTTP/1.1 200 OK  (text/html)"
"18","0.011164","::1","::1","TCP","76","57816  >  8081 [ACK] Seq=557 Ack=274 Win=407488 Len=0 TSval=1159601210 TSecr=1159601210"
"19","0.015465","::1","::1","TCP","503","57816  >  8081 [PSH, ACK] Seq=557 Ack=274 Win=407488 Len=427 TSval=1159601214 TSecr=1159601210 [TCP segment of a reassembled PDU]"
"20","0.015506","::1","::1","TCP","76","8081  >  57816 [ACK] Seq=274 Ack=984 Win=406784 Len=0 TSval=1159601214 TSecr=1159601214"
"21","0.015742","::1","::1","HTTP","121","POST / HTTP/1.1  (application/json)"
"22","0.015756","::1","::1","TCP","76","8081  >  57816 [ACK] Seq=274 Ack=1029 Win=406720 Len=0 TSval=1159601214 TSecr=1159601214"
"23","0.016699","::1","::1","HTTP","372","HTTP/1.1 200 OK  (application/json)"
"24","0.016720","::1","::1","TCP","76","57816  >  8081 [ACK] Seq=1029 Ack=570 Win=407168 Len=0 TSval=1159601215 TSecr=1159601215"
"25","0.026465","::1","::1","TCP","503","57816  >  8081 [PSH, ACK] Seq=1029 Ack=570 Win=407168 Len=427 TSval=1159601224 TSecr=1159601215 [TCP segment of a reassembled PDU]"
"26","0.026492","::1","::1","TCP","76","8081  >  57816 [ACK] Seq=570 Ack=1456 Win=406336 Len=0 TSval=1159601224 TSecr=1159601224"
"27","0.027741","::1","::1","HTTP","121","POST / HTTP/1.1  (application/json)"
"28","0.027777","::1","::1","TCP","76","8081  >  57816 [ACK] Seq=570 Ack=1501 Win=406272 Len=0 TSval=1159601225 TSecr=1159601225"
"29","0.029829","::1","::1","HTTP","374","HTTP/1.1 200 OK  (application/json)"
"30","0.029864","::1","::1","TCP","76","57816  >  8081 [ACK] Seq=1501 Ack=868 Win=406912 Len=0 TSval=1159601227 TSecr=1159601227"
"31","0.042793","::1","::1","TCP","503","57816  >  8081 [PSH, ACK] Seq=1501 Ack=868 Win=406912 Len=427 TSval=1159601239 TSecr=1159601227 [TCP segment of a reassembled PDU]"
"32","0.042815","::1","::1","TCP","76","8081  >  57816 [ACK] Seq=868 Ack=1928 Win=405824 Len=0 TSval=1159601239 TSecr=1159601239"
"33","0.043037","::1","::1","HTTP","121","POST / HTTP/1.1  (application/json)"
"34","0.043054","::1","::1","TCP","76","8081  >  57816 [ACK] Seq=868 Ack=1973 Win=405824 Len=0 TSval=1159601239 TSecr=1159601239"
"35","0.045428","::1","::1","HTTP","230","HTTP/1.1 200 OK "
"36","0.045455","::1","::1","TCP","76","57816  >  8081 [ACK] Seq=1973 Ack=1022 Win=406720 Len=0 TSval=1159601241 TSecr=1159601241"
"47","5.009046","::1","::1","TCP","76","8081  >  57815 [FIN, ACK] Seq=307 Ack=437 Win=407360 Len=0 TSval=1159606165 TSecr=1159601204"
"48","5.009082","::1","::1","TCP","76","57815  >  8081 [ACK] Seq=437 Ack=308 Win=407488 Len=0 TSval=1159606165 TSecr=1159606165"
"49","5.009141","::1","::1","TCP","76","57815  >  8081 [FIN, ACK] Seq=437 Ack=308 Win=407488 Len=0 TSval=1159606165 TSecr=1159606165"
"50","5.009172","::1","::1","TCP","76","8081  >  57815 [ACK] Seq=308 Ack=438 Win=407360 Len=0 TSval=1159606165 TSecr=1159606165"
"51","5.047380","::1","::1","TCP","76","8081  >  57816 [FIN, ACK] Seq=1022 Ack=1973 Win=405824 Len=0 TSval=1159606203 TSecr=1159601241"
"52","5.047415","::1","::1","TCP","76","57816  >  8081 [ACK] Seq=1973 Ack=1023 Win=406720 Len=0 TSval=1159606203 TSecr=1159606203"
"53","5.047489","::1","::1","TCP","76","57816  >  8081 [FIN, ACK] Seq=1973 Ack=1023 Win=406720 Len=0 TSval=1159606203 TSecr=1159606203"
"54","5.047522","::1","::1","TCP","76","8081  >  57816 [ACK] Seq=1023 Ack=1974 Win=405824 Len=0 TSval=1159606203 TSecr=1159606203"
