"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","::1","::1","TCP","88","53795  >  8080 [SYN] Seq=0 Win=65535 Len=0 MSS=16324 WS=64 TSval=1149975839 TSecr=0 SACK_PERM=1"
"2","0.000096","::1","::1","TCP","88","8080  >  53795 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16324 WS=64 TSval=1149975839 TSecr=1149975839 SACK_PERM=1"
"3","0.000111","::1","::1","TCP","76","53795  >  8080 [ACK] Seq=1 Ack=1 Win=407744 Len=0 TSval=1149975839 TSecr=1149975839"
"4","0.000124","::1","::1","TCP","76","[TCP Window Update] 8080  >  53795 [ACK] Seq=1 Ack=1 Win=407744 Len=0 TSval=1149975839 TSecr=1149975839"
"5","0.002425","::1","::1","HTTP","486","GET / HTTP/1.1 "
"6","0.002450","::1","::1","TCP","76","8080  >  53795 [ACK] Seq=1 Ack=411 Win=407360 Len=0 TSval=1149975841 TSecr=1149975841"
"7","0.003066","::1","::1","HTTP","205","HTTP/1.1 101 Switching Protocols "
"8","0.003085","::1","::1","TCP","76","53795  >  8080 [ACK] Seq=411 Ack=130 Win=407616 Len=0 TSval=1149975841 TSecr=1149975841"
"9","0.004154","::1","::1","WebSocket","212","WebSocket Text [FIN] [MASKED]"
"10","0.004177","::1","::1","TCP","76","8080  >  53795 [ACK] Seq=130 Ack=547 Win=407232 Len=0 TSval=1149975842 TSecr=1149975842"
"11","0.006424","::1","::1","WebSocket","130","WebSocket Text [FIN] "
"12","0.006448","::1","::1","TCP","76","53795  >  8080 [ACK] Seq=547 Ack=184 Win=407616 Len=0 TSval=1149975844 TSecr=1149975844"
"13","0.009545","::1","::1","WebSocket","132","WebSocket Text [FIN] "
"14","0.009588","::1","::1","TCP","76","53795  >  8080 [ACK] Seq=547 Ack=240 Win=407552 Len=0 TSval=1149975847 TSecr=1149975847"
"15","0.011413","::1","::1","WebSocket","78","WebSocket Connection Close [FIN] "
"16","0.011439","::1","::1","TCP","76","53795  >  8080 [ACK] Seq=547 Ack=242 Win=407552 Len=0 TSval=1149975848 TSecr=1149975848"
"17","0.012041","::1","::1","WebSocket","82","WebSocket Connection Close [FIN] [MASKED]"
"18","0.012064","::1","::1","TCP","76","8080  >  53795 [ACK] Seq=242 Ack=553 Win=407232 Len=0 TSval=1149975849 TSecr=1149975849"
"19","0.012544","::1","::1","TCP","76","8080  >  53795 [FIN, ACK] Seq=242 Ack=553 Win=407232 Len=0 TSval=1149975849 TSecr=1149975849"
"20","0.012570","::1","::1","TCP","76","53795  >  8080 [ACK] Seq=553 Ack=243 Win=407552 Len=0 TSval=1149975849 TSecr=1149975849"
"21","0.013221","::1","::1","TCP","76","53795  >  8080 [FIN, ACK] Seq=553 Ack=243 Win=407552 Len=0 TSval=1149975850 TSecr=1149975849"
"22","0.013260","::1","::1","TCP","76","8080  >  53795 [ACK] Seq=243 Ack=554 Win=407232 Len=0 TSval=1149975850 TSecr=1149975850"
